Time (min),System Pressure (psi),Booster Mode,Pressure Tank Volume (gal),Storage Tank Volume (gal)
0,60.0,Off,1160.0,5800.0
3,58.9,Off,1040.0,5800.0
6,57.8,Off,920.0,5800.0
9,56.699999999999996,Off,800.0,5800.0
12,55.599999999999994,Off,680.0,5800.0
15,54.49999999999999,Off,560.0,5800.0
18,53.39999999999999,Off,440.0,5800.0
21,52.29999999999999,Off,320.0,5800.0
24,51.19999999999999,Off,200.0,5800.0
27,50.09999999999999,Off,80.0,5800.0
30,48.999999999999986,Off,0.0,5760.0
33,47.899999999999984,Off,0.0,5640.0
36,46.79999999999998,Off,0.0,5520.0
39,45.69999999999998,Off,0.0,5400.0
42,44.59999999999998,Single,0.0,5340.0
45,43.49999999999998,Single,0.0,5280.0
48,42.39999999999998,Single,0.0,5220.0
51,41.299999999999976,Single,0.0,5160.0
54,40.199999999999974,Single,0.0,5100.0
57,39.09999999999997,Dual,0.0,5100.0
60,40.59999999999997,Dual,0.0,5100.0
63,42.09999999999997,Dual,0.0,5100.0
66,43.59999999999997,Dual,0.0,5100.0
69,45.09999999999997,Dual,0.0,5100.0
72,46.59999999999997,Dual,0.0,5100.0
75,48.09999999999997,Dual,0.0,5100.0
78,49.59999999999997,Dual,0.0,5100.0
81,51.09999999999997,Dual,0.0,5100.0
84,52.59999999999997,Dual,0.0,5100.0
87,54.09999999999997,Dual,0.0,5100.0
90,55.59999999999997,Dual,0.0,5100.0
93,55.0,Off,0.0,4980.0
96,53.9,Off,0.0,4860.0
99,52.8,Off,0.0,4740.0
102,51.699999999999996,Off,0.0,4620.0
105,50.599999999999994,Off,0.0,4500.0
108,49.49999999999999,Off,0.0,4380.0
111,48.39999999999999,Off,0.0,4260.0
114,47.29999999999999,Off,0.0,4140.0
117,46.19999999999999,Off,0.0,4020.0
120,45.09999999999999,Off,0.0,3900.0
123,43.999999999999986,Single,0.0,3840.0
126,42.899999999999984,Single,0.0,3780.0
129,41.79999999999998,Single,0.0,3720.0
132,40.69999999999998,Single,0.0,3660.0
135,39.59999999999998,Dual,0.0,3660.0
138,41.09999999999998,Dual,0.0,3660.0
141,42.59999999999998,Dual,0.0,3660.0
144,44.09999999999998,Dual,0.0,3660.0
147,45.59999999999998,Dual,0.0,3660.0
150,47.09999999999998,Dual,0.0,3660.0
153,48.59999999999998,Dual,0.0,3660.0
156,50.09999999999998,Dual,0.0,3660.0
159,51.59999999999998,Dual,0.0,3660.0
162,53.09999999999998,Dual,0.0,3660.0
165,54.59999999999998,Dual,0.0,3660.0
168,56.09999999999998,Dual,0.0,3660.0
171,55.0,Off,0.0,3540.0
174,53.9,Off,0.0,3420.0
177,52.8,Off,0.0,3300.0
180,51.699999999999996,Off,0.0,3180.0
183,50.599999999999994,Off,0.0,3060.0
186,49.49999999999999,Off,0.0,2940.0
189,48.39999999999999,Off,0.0,2820.0
192,47.29999999999999,Off,0.0,2700.0
195,46.19999999999999,Off,0.0,2580.0
198,45.09999999999999,Off,0.0,2460.0
201,43.999999999999986,Single,0.0,2400.0
204,42.899999999999984,Single,0.0,2340.0
207,41.79999999999998,Single,0.0,2280.0
210,40.69999999999998,Single,0.0,2220.0
213,39.59999999999998,Dual,0.0,2220.0
216,41.09999999999998,Dual,0.0,2220.0
219,42.59999999999998,Dual,0.0,2220.0
222,44.09999999999998,Dual,0.0,2220.0
225,45.59999999999998,Dual,0.0,2220.0
228,47.09999999999998,Dual,0.0,2220.0
231,48.59999999999998,Dual,0.0,2220.0
234,50.09999999999998,Dual,0.0,2220.0
237,51.59999999999998,Dual,0.0,2220.0
240,53.09999999999998,Dual,0.0,2220.0
243,54.59999999999998,Dual,0.0,2220.0
246,56.09999999999998,Dual,0.0,2220.0
249,55.0,Off,0.0,2100.0
252,53.9,Off,0.0,1980.0
255,52.8,Off,0.0,1860.0
258,51.699999999999996,Off,0.0,1740.0
261,50.599999999999994,Off,0.0,1620.0
264,49.49999999999999,Off,0.0,1500.0
267,48.39999999999999,Off,0.0,1380.0
270,47.29999999999999,Off,0.0,1260.0
273,46.19999999999999,Off,0.0,1140.0
276,45.09999999999999,Off,0.0,1020.0
279,43.999999999999986,Single,0.0,960.0
282,42.899999999999984,Single,0.0,900.0
285,41.79999999999998,Single,0.0,840.0
288,40.69999999999998,Single,0.0,780.0
291,39.59999999999998,Dual,0.0,780.0
294,41.09999999999998,Dual,0.0,780.0
297,42.59999999999998,Dual,0.0,780.0
300,44.09999999999998,Dual,0.0,780.0
303,45.59999999999998,Dual,0.0,780.0
306,47.09999999999998,Dual,0.0,780.0
309,48.59999999999998,Dual,0.0,780.0
312,50.09999999999998,Dual,0.0,780.0
315,51.59999999999998,Dual,0.0,780.0
318,53.09999999999998,Dual,0.0,780.0
321,54.59999999999998,Dual,0.0,780.0
324,56.09999999999998,Dual,0.0,780.0
327,55.0,Off,0.0,660.0
330,53.9,Off,0.0,540.0
333,52.8,Off,0.0,420.0
336,51.699999999999996,Off,0.0,300.0
339,50.599999999999994,Off,0.0,180.0
342,49.49999999999999,Off,0.0,60.0
345,48.39999999999999,Off,0.0,0.0
