Time (min),System Pressure (psi),Booster Mode,Pressure Tank Volume (gal),Storage Tank Volume (gal)
0,60.0,Off,1100.0,5800.0
3,58.9,Off,920.0,5800.0
6,57.8,Off,740.0,5800.0
9,56.699999999999996,Off,560.0,5800.0
12,55.599999999999994,Off,380.0,5800.0
15,54.49999999999999,Off,200.0,5800.0
18,53.39999999999999,Off,20.0,5800.0
21,52.29999999999999,Off,0.0,5640.0
24,51.19999999999999,Off,0.0,5460.0
27,50.09999999999999,Off,0.0,5280.0
30,48.999999999999986,Off,0.0,5100.0
33,47.899999999999984,Off,0.0,4920.0
36,46.79999999999998,Off,0.0,4740.0
39,45.69999999999998,Off,0.0,4560.0
42,44.59999999999998,Single,0.0,4440.0
45,43.49999999999998,Single,0.0,4320.0
48,42.39999999999998,Single,0.0,4200.0
51,41.299999999999976,Single,0.0,4080.0
54,40.199999999999974,Single,0.0,3960.0
57,39.09999999999997,Dual,0.0,3900.0
60,37.99999999999997,Dual,0.0,3840.0
63,36.89999999999997,Dual,0.0,3780.0
66,35.79999999999997,Dual,0.0,3720.0
69,34.69999999999997,Dual,0.0,3660.0
72,33.599999999999966,Dual,0.0,3600.0
75,32.499999999999964,Dual,0.0,3540.0
78,31.399999999999963,Dual,0.0,3480.0
81,30.29999999999996,Dual,0.0,3420.0
84,29.19999999999996,Dual,0.0,3360.0
87,28.09999999999996,Dual,0.0,3300.0
90,26.999999999999957,Dual,0.0,3240.0
93,25.899999999999956,Dual,0.0,3180.0
96,24.799999999999955,Dual,0.0,3120.0
99,23.699999999999953,Dual,0.0,3060.0
102,22.59999999999995,Dual,0.0,3000.0
105,21.49999999999995,Dual,0.0,2940.0
108,20.39999999999995,Dual,0.0,2880.0
